XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
287.338373,0.000242
289.266819,0.000417
291.195264,0.000467
293.123710,0.000376
295.052155,0.000219
296.980601,0.000080
298.909046,-0.000017
300.837492,-0.000055
302.765937,0.000004
304.694382,0.000125
306.622828,0.000180
308.551273,0.000096
310.479719,0.000005
312.408164,0.000035
314.336610,0.000158
316.265055,0.000105
318.193501,-0.000103
320.121946,-0.000127
322.050392,0.000129
323.978837,0.000410
325.907282,0.000556
327.835728,0.000438
329.764173,0.000278
331.692619,0.000201
333.621064,0.000170
335.549510,0.000199
337.477955,0.000320
339.406401,0.000423
341.334846,0.000364
343.263292,-0.000206
345.191737,-0.001133
347.120183,-0.001250
349.048628,0.000038
350.977073,0.000637
352.905519,0.000629
354.833964,0.000413
356.762410,0.000317
358.690855,0.000200
360.619301,0.000092
362.547746,0.000074
364.476192,0.000137
366.404637,0.000219
368.333083,0.000271
370.261528,0.000227
372.189973,0.000101
374.118419,-0.000014
376.046864,-0.000022
377.975310,0.000013
379.903755,0.000050
381.832201,0.000142
383.760646,0.000277
385.689092,0.000380
387.617537,0.000440
389.545983,0.000367
391.474428,0.000249
393.402874,0.000164
395.331319,0.000068
397.259764,-0.000019
399.188210,-0.000054
401.116655,-0.000121
403.045101,-0.000246
404.973546,-0.000284
406.901992,-0.000124
408.830437,0.000220
410.758883,0.000508
412.687328,0.000558
414.615774,0.000490
416.544219,0.000361
418.472664,0.000178
420.401110,0.000046
422.329555,0.000126
424.258001,0.000323
426.186446,0.000363
428.114892,0.000167
430.043337,0.000031
431.971783,0.000196
433.900228,0.000482
435.828674,0.000522
437.757119,0.000368
439.685565,0.000123
441.614010,-0.000229
443.542455,-0.000490
445.470901,-0.000431
447.399346,-0.000148
449.327792,0.000065
451.256237,0.000131
453.184683,0.000117
455.113128,0.000171
457.041574,0.000286
458.970019,0.000296
460.898465,0.000148
462.826910,0.000014
464.755355,0.000068
466.683801,0.000310
468.612246,0.000562
470.540692,0.000606
472.469137,0.000460
474.397583,0.000332
476.326028,0.000269
478.254474,0.000162
480.182919,-0.000008
482.111365,-0.000101
484.039810,-0.000043
485.968256,0.000099
487.896701,0.000286
489.825146,0.000516
491.753592,0.000620
493.682037,0.000471
495.610483,0.000227
497.538928,0.000054
499.467374,-0.000080
501.395819,-0.000185
503.324265,-0.000183
505.252710,-0.000094
507.181156,-0.000010
509.109601,0.000091
511.038046,0.000244
512.966492,0.000366
514.894937,0.000333
516.823383,0.000147
518.751828,-0.000058
520.680274,-0.000130
522.608719,-0.000072
524.537165,0.000007
526.465610,0.000081
528.394056,0.000282
530.322501,0.000632
532.250947,0.000830
534.179392,0.000648
536.107837,0.000320
538.036283,0.000092
539.964728,0.000079
541.893174,0.000195
543.821619,0.000231
545.750065,0.000152
547.678510,0.000079
549.606956,0.000041
551.535401,-0.000022
553.463847,-0.000053
555.392292,0.000008
557.320737,0.000082
559.249183,0.000096
561.177628,0.000074
563.106074,0.000214
565.034519,0.000313
566.962965,0.000175
568.891410,0.000056
570.819856,-0.000044
572.748301,-0.000172
574.676747,-0.000107
576.605192,0.000229
578.533638,0.000521
580.462083,0.000495
582.390528,0.000247
584.318974,-0.000049
